City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,pisco,-13.7,-76.2167,22.23,83,13,4.63,PE,1702493059
299,sur,22.5667,59.5289,22.68,56,64,3.81,OM,1702493214
300,port lincoln,-34.7333,135.8667,16.89,87,95,6.19,AU,1702493214
301,hilo,19.7297,-155.09,24.6,97,100,1.54,US,1702493214
302,rayachoti,14.05,78.75,20.64,88,7,1.57,IN,1702493214
303,thunder bay,48.4001,-89.3168,-5.01,54,20,1.54,CA,1702492940
304,padang,-0.9492,100.3543,25.03,90,91,1.49,ID,1702493214
305,hasaki,35.7333,140.8333,3.22,44,96,2.04,JP,1702493214
306,al fallujah,33.3538,43.7795,13.94,59,74,3.84,IQ,1702493215
307,al qaryatayn,34.2296,37.2407,9.4,71,0,4.85,SY,1702493215
308,carnarvon,-24.8667,113.6333,24.27,60,0,8.15,AU,1702493215
309,thinadhoo,0.5333,72.9333,27.98,75,20,1.72,MV,1702493215
310,midvagur,62.0511,-7.1939,6.46,87,100,10.8,FO,1702493215
311,puerto ayacucho,5.6639,-67.6236,34.2,48,47,2.25,VE,1702493215
312,gamay,12.3854,125.2979,25.57,89,78,4.64,PH,1702493216
313,maxixe,-23.8597,35.3472,25.9,88,40,3.13,MZ,1702493216
314,callao,-12.0667,-77.15,24.16,64,20,6.69,PE,1702493216
315,newman,37.3138,-121.0208,11.83,45,0,0.89,US,1702493216
316,taco pozo,-25.6167,-63.2833,39.05,32,0,5.75,AR,1702493216
317,kushalgarh,23.199,74.4507,18.56,38,81,3.61,IN,1702493216
318,dickinson,29.4608,-95.0513,16.17,68,75,5.14,US,1702492938
319,kyshtovka,56.555,76.6271,-17.03,85,100,5.81,RU,1702493217
320,constantia,44.1833,28.65,9.38,82,100,9.34,RO,1702493120
321,mar del plata,-38.0023,-57.5575,21.57,60,0,8.23,AR,1702493042
322,preobrazheniye,42.9019,133.9064,-9.21,39,98,2.97,RU,1702493217
323,usinsk,65.9939,57.5281,-14.18,94,100,7.91,RU,1702492974
324,kindia,10.0569,-12.8658,24.72,29,33,0.95,GN,1702493217
325,saurimo,-9.6608,20.3916,19.93,96,100,1.65,AO,1702493218
326,rensselaer,42.7168,-73.4829,2.04,65,42,6.08,US,1702493022
327,saudarkrokur,65.7461,-19.6394,4.3,75,100,8.67,IS,1702493106
328,lancaster,40.2504,-76.2499,7.4,50,6,2.68,US,1702493033
329,kuta,-8.7233,115.1723,26.97,88,75,1.54,ID,1702493218
330,berezovyy,51.6667,135.7,-25.77,69,7,2.9,RU,1702493218
331,ayaviri,-14.8864,-70.5889,14.29,54,98,3.21,PE,1702493218
332,leava,-14.3,-178.1667,27.03,66,100,2.91,WF,1702493219
333,san patricio,28.017,-97.5169,21.92,92,100,6.84,US,1702493219
334,dudinka,69.4058,86.1778,-24.07,94,97,8.05,RU,1702493219
335,chahal guatemala,15.75,-89.5667,19.3,99,100,1.34,GT,1702493219
336,hammerfest,70.6634,23.6821,-5.75,68,0,3.6,NO,1702493219
337,yabrud,33.9674,36.6574,5.8,63,0,1.2,SY,1702493219
338,norilsk,69.3535,88.2027,-23.62,94,100,2.89,RU,1702493219
339,minas de marcona,-15.2119,-75.1103,21.85,58,22,4.99,PE,1702493220
340,mogocha,53.7333,119.7667,-34.83,98,6,1.41,RU,1702493220
341,chibougamau,49.9168,-74.3659,-12.21,72,100,5.66,CA,1702493000
342,price,39.5994,-110.8107,9.59,34,0,5.14,US,1702493220
343,tabou,4.423,-7.3528,27.35,80,0,3.91,CI,1702493220
344,mumbwa,-14.9783,27.0619,19.46,95,100,3.15,ZM,1702493220
345,akrehamn,59.2667,5.1833,0.14,69,75,4.63,NO,1702493220
346,cabo san lucas,22.8909,-109.9124,29.23,49,20,0.0,MX,1702493050
347,burutu,5.3509,5.5076,26.17,53,0,2.43,NG,1702493221
348,camarinas,43.1311,-9.1817,12.18,71,23,6.68,ES,1702493221
349,fort st. john,56.2499,-120.8529,6.94,36,40,7.2,CA,1702493027
350,kolonia town,6.964,158.206,27.0,83,75,2.57,FM,1702493221
